x;F(x);L(x)
0;1;1
0.1;1.051271096376;1.0500556233281
0.2;1.1051709180756;1.1032307145284
0.3;1.1618342427283;1.1595591882956
0.4;1.2214027581602;1.2190926698948
0.5;1.2840254166877;1.2819004951617
0.6;1.349858807576;1.3480697105026
0.7;1.4190675485933;1.4177050728942
0.8;1.4918246976413;1.490929049884
0.9;1.5683121854902;1.5678818195898
1;1.6487212707001;1.6487212707001
1.1;1.7332530178674;1.733623002474
1.2;1.8221188003905;1.8227803247409
1.3;1.9155408290139;1.9164042579011
1.4;2.0137527074705;2.0147235329251
1.5;2.1170000166127;2.1179845913543
1.6;2.2255409284925;2.2264515853004
1.7;2.339646851926;2.3404063774458
1.8;2.4596031111569;2.4601485410433
1.9;2.5857096593158;2.5859953599164
2;2.718281828459;2.718281828459
2.1;2.8576511180632;2.8573606516359
2.2;3.0041660239464;3.0036022449819
2.3;3.1581929096898;3.1573947346029
2.4;3.3201169227365;3.3191439571749
2.5;3.4903429574618;3.4892734599449
2.6;3.6692966676192;3.66822450073
2.7;3.857425530697;3.8564560479182
2.8;4.0551999668447;4.0544447804678
2.9;4.2631145151688;4.262685087908
3;4.4816890703381;4.4816890703381
3.1;4.7114701825907;4.7119865384282
3.2;4.9530324243951;4.9541250134191
3.3;5.2069798271798;5.2086697271219
3.4;5.4739473917272;5.4762036219184
3.5;5.7546026760057;5.7573273507607
3.6;6.0496474644129;6.0526592771719
3.7;6.3598195226018;6.3628354752452
3.8;6.6858944422793;6.6885097296447
3.9;7.0286875805893;7.0303535356048
4;7.3890560989307;7.3890560989307
