x,F(x),L(x)
0,0.82682181043181,0.82682181043181
0.1,0.74513041067035,0.62825918246978
0.2,0.65366643498921,0.46189435104487
0.3,0.55607626346753,0.32537367482619
0.4,0.45625050828028,0.21640187172759
0.5,0.35816890726839,0.13274201890772
0.6,0.26574166434981,0.072215552769962
0.7,0.18265356202868,0.032702268962489
0.8,0.11221706074488,0.01214032237822
0.9,0.057240241529341,0.008526227154846
1,0.019914856674817,0.019914856674817
1.1,0.001728951488391,0.044419443565351
1.2,0.003407540620904,0.080211579698427
1.3,0.024883704020735,0.12552121619079
1.4,0.065301254825088,0.17863666340395
1.5,0.12304887282835,0.23790459094417
1.6,0.19582434273387,0.3017300276625
1.7,0.2807263362128,0.36857636165474
1.8,0.37437007870887,0.43696534026143
1.9,0.47302228971868,0.50547707006793
2,0.57275001690431,0.57275001690431
2.1,0.66957743049192,0.63748100584543
2.2,0.75964432705834,0.69842522121091
2.3,0.83936002366001,0.75439620656514
2.4,0.90554650703083,0.80426586471726
2.5,0.95556513094234,0.84696445772118
2.6,0.98742181070208,0.88148060687559
2.7,0.9998465210176,0.90686129272391
2.8,0.99234392789706,0.92221185505435
2.9,0.96521313605238,0.92669599289988
3,0.91953576453823,0.91953576453823
3.1,0.8571328260136,0.90001158749189
3.2,0.78049212871361,0.86746223852812
3.3,0.69266909538591,0.82128485365895
3.4,0.59716495322767,0.76093492814116
3.5,0.49778715100597,0.68592631647631
3.6,0.39849756809062,0.5958312324107
3.7,0.30325456682605,0.49028024893541
3.8,0.21585518511601,0.3689622982863
3.9,0.13978376050458,0.23162467194395
4,0.078073020633754,0.078073020633754
